                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.0477,                0.59389,                 1.1713,                0.93069,                0.90677,                0.93038,                0.55837,                 1.3989,                0.68614,                 1.2569,              0.0021382,              0.0021382,              0.0021382
                    138,                 1.0562,                0.59867,                 1.1714,                0.93103,                0.90677,                0.93046,                 0.5591,                 1.3987,                0.68589,                  1.257,                0.00208,                0.00208,                0.00208
                    139,                 1.0448,                 0.5944,                 1.1672,                0.93001,                0.90566,                0.93018,                0.55887,                 1.3989,                0.68538,                 1.2568,              0.0020218,              0.0020218,              0.0020218
                    140,                  1.047,                 0.5867,                 1.1674,                0.93054,                0.90698,                0.93056,                0.55893,                 1.3983,                0.68584,                 1.2565,              0.0019635,              0.0019635,              0.0019635
                    141,                 1.0401,                0.59015,                 1.1602,                0.92939,                0.90566,                0.92986,                0.55866,                  1.398,                0.68521,                 1.2563,              0.0019053,              0.0019053,              0.0019053
                    142,                 1.0456,                0.58984,                 1.1677,                0.93053,                 0.9069,                0.93027,                0.55892,                 1.3979,                0.68429,                 1.2559,              0.0018471,              0.0018471,              0.0018471
                    143,                 1.0374,                 0.5888,                 1.1633,                 0.9294,                0.90581,                0.92988,                0.55831,                 1.3975,                0.68428,                  1.256,              0.0017888,              0.0017888,              0.0017888
                    144,                 1.0362,                0.59247,                  1.171,                0.92939,                0.90579,                0.92989,                0.55781,                 1.3977,                0.68307,                 1.2561,              0.0017306,              0.0017306,              0.0017306
                    145,                 1.0409,                0.58652,                 1.1657,                0.93052,                0.90676,                0.92991,                0.55882,                 1.3973,                0.68309,                 1.2562,              0.0016724,              0.0016724,              0.0016724
                    146,                 1.0391,                0.58804,                 1.1653,                0.93044,                0.90565,                   0.93,                  0.558,                 1.3971,                0.68289,                  1.256,              0.0016141,              0.0016141,              0.0016141
                    147,                 1.0318,                0.57663,                 1.1601,                 0.9294,                0.90581,                0.92973,                0.55845,                 1.3971,                0.68273,                 1.2561,              0.0015559,              0.0015559,              0.0015559
                    148,                 1.0307,                0.57794,                 1.1573,                0.92736,                0.90683,                0.92969,                 0.5574,                 1.3972,                0.68274,                 1.2562,              0.0014976,              0.0014976,              0.0014976
                    149,                 1.0324,                0.58149,                 1.1554,                0.92851,                0.90813,                0.93054,                 0.5576,                  1.397,                0.68246,                 1.2559,              0.0014394,              0.0014394,              0.0014394
